Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0706,`33,`000,State - TAMIL NADU,Total,Total,4218884,2136881,2082003,723891,337268,386623,393082,220314,172768,2372446,1034184,1338262,125099,78052,47047,14979,10290,4689,154133,53418,100715,306528,188464,118064,7137,6003,1134,390275,241619,148656,510,478,32,171440,129234,42206,84686,81715,2971,42321,33725,8596,463,350,113,23293,16984,6309,26047,21250,4797,56495,42000,14495,58788,19892,38896,89703,21366,68337,625350,274811,350539
B0706,`33,`000,State - TAMIL NADU,Total,`5-9,48238,24511,23727,2051,1021,1030,3363,1592,1771,4169,1992,2177,198,106,92,6,0,6,228,113,115,246,127,119,6,4,2,264,176,88,0,0,0,182,123,59,20,11,9,16,13,3,0,0,0,15,15,0,8,5,3,56,36,20,312,169,143,842,386,456,40358,20664,19694
B0706,`33,`000,State - TAMIL NADU,Total,`10-14,76288,39191,37097,6993,3716,3277,5072,2486,2586,13939,6974,6965,834,464,370,70,39,31,996,394,602,2808,1416,1392,24,14,10,1522,1081,441,0,0,0,1359,1101,258,260,250,10,193,155,38,0,0,0,67,50,17,51,37,14,157,113,44,506,256,250,1523,576,947,53900,27501,26399
B0706,`33,`000,State - TAMIL NADU,Total,15-19,257605,141262,116343,41938,23489,18449,17864,9336,8528,102106,51763,50343,4613,3157,1456,689,544,145,6642,2027,4615,28826,14958,13868,319,285,34,18661,15695,2966,45,39,6,13031,9523,3508,3950,3797,153,2012,1828,184,15,15,0,787,479,308,711,547,164,2029,1261,768,2114,695,1419,5349,2065,3284,89780,46737,43043
B0706,`33,`000,State - TAMIL NADU,Total,20-24,478082,257149,220933,81036,42916,38120,33647,16930,16717,216966,98959,118007,9171,6302,2869,1490,1092,398,14366,4374,9992,50791,32445,18346,1032,931,101,41762,32398,9364,69,69,0,22377,17460,4917,13199,12769,430,4172,3828,344,80,63,17,6799,4267,2532,3492,2392,1100,7882,5615,2267,11529,2861,8668,10653,2478,8175,109641,54832,54809
B0706,`33,`000,State - TAMIL NADU,Total,25-29,554851,283442,271409,91694,43398,48296,43750,22289,21461,289269,121022,168247,12934,8307,4627,2050,1395,655,20306,6321,13985,49416,31750,17666,1071,936,135,56646,38634,18012,124,112,12,23769,19411,4358,16413,15922,491,5042,4419,623,110,81,29,6668,4773,1895,4763,3770,993,8674,6389,2285,12528,4506,8022,12713,2745,9968,80299,34058,46241
B0706,`33,`000,State - TAMIL NADU,Total,30-34,483456,240046,243410,79385,34989,44396,41255,22446,18809,266670,109948,156722,13070,8097,4973,1929,1301,628,20066,6132,13934,41514,25148,16366,926,793,133,52663,32634,20029,49,46,3,21174,16748,4426,14073,13640,433,4752,3867,885,70,60,10,3844,3149,695,3824,3090,734,7243,5209,2034,8540,3168,5372,10524,2074,8450,50655,17485,33170
B0706,`33,`000,State - TAMIL NADU,Total,35-39,502791,230695,272096,84066,33718,50348,44245,23087,21158,301918,115699,186219,15102,8741,6361,2084,1321,763,20858,6157,14701,37676,21707,15969,955,779,176,54701,30436,24265,63,58,5,20736,15209,5527,12097,11729,368,5263,3990,1273,75,53,22,1933,1589,344,3174,2623,551,6600,4568,2032,6614,2117,4497,10648,1864,8784,42115,12686,29429
B0706,`33,`000,State - TAMIL NADU,Total,40-49,824271,399353,424918,137834,59778,78056,81138,44992,36146,514173,215722,298451,28854,17470,11384,3568,2375,1193,32694,11349,21345,51293,31390,19903,1554,1283,271,84341,47579,36762,100,94,6,32659,23780,8879,15498,14891,607,10376,7855,2521,55,37,18,1739,1465,274,4859,4140,719,10883,8218,2665,9406,3104,6302,16570,3453,13117,62345,19934,42411
B0706,`33,`000,State - TAMIL NADU,Total,50-59,539168,269939,269229,96980,42864,54116,61891,36183,25708,350987,153824,197163,21117,13001,8116,1822,1280,542,20359,8099,12260,26304,17435,8869,825,659,166,47104,25713,21391,46,46,0,20717,15157,5560,6754,6438,316,6324,4731,1593,42,32,10,981,817,164,3373,2996,377,8111,6507,1604,5124,1890,3234,10629,2480,8149,43638,15515,28123
B0706,`33,`000,State - TAMIL NADU,Total,60-69,324681,172986,151695,70594,33542,37052,41653,26939,14714,226876,109593,117283,13484,8386,5098,997,723,274,12327,5611,6716,12798,8583,4215,329,244,85,24923,12792,12131,8,8,0,10942,7612,3330,1770,1673,97,3178,2301,877,9,6,3,321,272,49,1253,1158,95,3380,2803,577,1555,775,780,7017,1998,5019,32455,15051,17404
B0706,`33,`000,State - TAMIL NADU,Total,70-79,103004,62672,40332,25242,14230,11012,15159,11133,4026,70054,39928,30126,4651,3216,1435,250,206,44,4301,2295,2006,3803,2779,1024,68,51,17,6239,3646,2593,6,6,0,3582,2482,1100,454,413,41,828,615,213,5,3,2,87,73,14,447,414,33,1138,992,146,416,283,133,2503,946,1557,14255,7421,6834
B0706,`33,`000,State - TAMIL NADU,Total,80+,22844,13709,9135,5595,3370,2225,3722,2727,995,13875,8115,5760,983,737,246,12,8,4,902,492,410,822,579,243,19,15,4,1152,665,487,0,0,0,778,520,258,120,106,14,143,101,42,2,0,2,31,21,10,77,63,14,276,234,42,103,51,52,634,267,367,4788,2378,2410
B0706,`33,`000,State - TAMIL NADU,Total,Age not stated,3605,1926,1679,483,237,246,323,174,149,1444,645,799,88,68,20,12,6,6,88,54,34,231,147,84,9,9,0,297,170,127,0,0,0,134,108,26,78,76,2,22,22,0,0,0,0,21,14,7,15,15,0,66,55,11,41,17,24,98,34,64,1121,549,572
B0706,`33,`000,State - TAMIL NADU,Rural,Total,3009302,1443929,1565373,510909,216805,294104,359283,199440,159843,2155158,921652,1233506,81901,48169,33732,10266,7004,3262,93344,31962,61382,138835,83121,55714,3038,2704,334,231542,117854,113688,255,242,13,64318,46693,17625,37949,36972,977,16644,13736,2908,162,140,22,4407,3386,1021,7010,5817,1193,15844,11143,4701,23473,8436,15037,51408,13231,38177,225374,109032,116342
B0706,`33,`000,State - TAMIL NADU,Rural,`5-9,21214,10736,10478,1512,745,767,2641,1229,1412,3856,1833,2023,141,76,65,3,0,3,73,21,52,153,76,77,0,0,0,143,86,57,0,0,0,91,54,37,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,8,6,2,164,75,89,393,198,195,15056,7823,7233
B0706,`33,`000,State - TAMIL NADU,Rural,`10-14,38241,19696,18545,5256,2699,2557,4224,2036,2188,12978,6443,6535,680,361,319,61,30,31,641,241,400,1613,771,842,4,2,2,895,638,257,0,0,0,680,550,130,127,125,2,91,77,14,0,0,0,15,15,0,14,14,0,40,38,2,299,162,137,847,290,557,20288,10602,9686
B0706,`33,`000,State - TAMIL NADU,Rural,15-19,172855,93872,78983,30123,16088,14035,16009,8357,7652,95006,47607,47399,3508,2337,1171,539,418,121,4728,1399,3329,17253,8455,8798,163,150,13,12039,9854,2185,36,32,4,6595,4977,1618,2653,2576,77,1274,1199,75,10,10,0,299,175,124,311,231,80,844,502,342,1153,347,806,3564,1363,2201,36994,19971,17023
B0706,`33,`000,State - TAMIL NADU,Rural,20-24,326329,169360,156969,55556,27110,28446,30336,15223,15113,201136,90213,110923,6601,4384,2217,1059,744,315,9777,2977,6800,26618,16874,9744,523,485,38,25873,18658,7215,26,26,0,10230,8081,2149,7817,7633,184,2262,2121,141,39,33,6,1466,1029,437,1197,906,291,2463,1894,569,5736,1425,4311,6864,1696,5168,41862,22068,19794
B0706,`33,`000,State - TAMIL NADU,Rural,25-29,392510,189190,203320,64816,27703,37113,40210,20363,19847,265906,109006,156900,8801,5319,3482,1502,987,515,13040,4056,8984,23564,15125,8439,522,478,44,34580,20286,14294,75,69,6,9699,7875,1824,8554,8360,194,2391,2133,258,33,25,8,1220,939,281,1587,1313,274,2547,1905,642,5513,2172,3341,7837,1837,6000,29745,14645,15100
B0706,`33,`000,State - TAMIL NADU,Rural,30-34,343198,159863,183335,54759,21699,33060,38048,20562,17486,242787,97922,144865,8400,4820,3580,1296,859,437,11976,3627,8349,17980,10804,7176,417,359,58,31482,15854,15628,25,22,3,7652,5842,1810,6411,6266,145,1855,1570,285,29,29,0,654,570,84,1101,942,159,1961,1313,648,3141,1358,1783,5697,1411,4286,17045,7432,9613
B0706,`33,`000,State - TAMIL NADU,Rural,35-39,366012,155688,210324,58298,20606,37692,40864,21046,19818,273605,102508,171097,9657,5181,4476,1440,937,503,12190,3499,8691,15399,8667,6732,382,331,51,32422,13930,18492,11,11,0,6942,4713,2229,4937,4836,101,1797,1369,428,8,8,0,248,196,52,870,718,152,1882,1211,671,2117,822,1295,5970,1184,4786,13569,5127,8442
B0706,`33,`000,State - TAMIL NADU,Rural,40-49,604603,273777,330826,95798,37060,58738,74706,40867,33839,463851,190503,273348,18488,10473,8015,2410,1638,772,18560,6428,12132,19290,11410,7880,591,503,88,47193,19976,27217,50,50,0,10391,6881,3510,5074,4924,150,3678,2850,828,20,14,6,291,261,30,1021,870,151,2906,1995,911,2972,1098,1874,8971,2086,6885,19938,8010,11928
B0706,`33,`000,State - TAMIL NADU,Rural,50-59,400475,187622,212853,69058,27265,41793,56832,32785,24047,315209,135116,180093,13195,7636,5559,1141,776,365,11670,4545,7125,9609,6097,3512,309,285,24,26870,10540,16330,23,23,0,6645,4295,2350,1746,1670,76,1958,1461,497,15,15,0,120,110,10,611,551,60,1887,1342,545,1746,612,1134,5725,1377,4348,14222,5651,8571
B0706,`33,`000,State - TAMIL NADU,Rural,60-69,248262,126963,121299,52422,23011,29411,38149,24399,13750,204043,97068,106975,8676,5039,3637,639,473,166,7385,3341,4044,5270,3381,1889,104,90,14,15444,5844,9600,3,3,0,3737,2355,1382,484,446,38,1035,740,295,6,6,0,59,56,3,205,187,18,905,628,277,464,245,219,3869,1085,2784,10207,4588,5619
B0706,`33,`000,State - TAMIL NADU,Rural,70-79,77137,46323,30814,18880,10222,8658,13657,9994,3663,63021,35624,27397,3069,2037,1032,155,131,24,2694,1479,1215,1643,1176,467,17,15,2,3781,1808,1973,6,6,0,1322,846,476,75,71,4,257,186,71,0,0,0,21,21,0,75,67,8,311,241,70,118,94,24,1305,532,773,4490,2217,2273
B0706,`33,`000,State - TAMIL NADU,Rural,80+,16140,9671,6469,4092,2440,1652,3316,2428,888,12439,7229,5210,614,449,165,9,5,4,546,306,240,326,213,113,6,6,0,670,316,354,0,0,0,283,187,96,31,25,6,36,20,16,2,0,2,6,6,0,12,12,0,75,59,16,26,14,12,307,147,160,1528,689,839
B0706,`33,`000,State - TAMIL NADU,Rural,Age not stated,2326,1168,1158,339,157,182,291,151,140,1321,580,741,71,57,14,12,6,6,64,43,21,117,72,45,0,0,0,150,64,86,0,0,0,51,37,14,38,38,0,8,8,0,0,0,0,8,8,0,6,6,0,15,9,6,24,12,12,59,25,34,430,209,221
B0706,`33,`000,State - TAMIL NADU,Urban,Total,1209582,692952,516630,212982,120463,92519,33799,20874,12925,217288,112532,104756,43198,29883,13315,4713,3286,1427,60789,21456,39333,167693,105343,62350,4099,3299,800,158733,123765,34968,255,236,19,107122,82541,24581,46737,44743,1994,25677,19989,5688,301,210,91,18886,13598,5288,19037,15433,3604,40651,30857,9794,35315,11456,23859,38295,8135,30160,399976,165779,234197
B0706,`33,`000,State - TAMIL NADU,Urban,`5-9,27024,13775,13249,539,276,263,722,363,359,313,159,154,57,30,27,3,0,3,155,92,63,93,51,42,6,4,2,121,90,31,0,0,0,91,69,22,18,9,9,14,11,3,0,0,0,15,15,0,8,5,3,48,30,18,148,94,54,449,188,261,25302,12841,12461
B0706,`33,`000,State - TAMIL NADU,Urban,`10-14,38047,19495,18552,1737,1017,720,848,450,398,961,531,430,154,103,51,9,9,0,355,153,202,1195,645,550,20,12,8,627,443,184,0,0,0,679,551,128,133,125,8,102,78,24,0,0,0,52,35,17,37,23,14,117,75,42,207,94,113,676,286,390,33612,16899,16713
B0706,`33,`000,State - TAMIL NADU,Urban,15-19,84750,47390,37360,11815,7401,4414,1855,979,876,7100,4156,2944,1105,820,285,150,126,24,1914,628,1286,11573,6503,5070,156,135,21,6622,5841,781,9,7,2,6436,4546,1890,1297,1221,76,738,629,109,5,5,0,488,304,184,400,316,84,1185,759,426,961,348,613,1785,702,1083,52786,26766,26020
B0706,`33,`000,State - TAMIL NADU,Urban,20-24,151753,87789,63964,25480,15806,9674,3311,1707,1604,15830,8746,7084,2570,1918,652,431,348,83,4589,1397,3192,24173,15571,8602,509,446,63,15889,13740,2149,43,43,0,12147,9379,2768,5382,5136,246,1910,1707,203,41,30,11,5333,3238,2095,2295,1486,809,5419,3721,1698,5793,1436,4357,3789,782,3007,67779,32764,35015
B0706,`33,`000,State - TAMIL NADU,Urban,25-29,162341,94252,68089,26878,15695,11183,3540,1926,1614,23363,12016,11347,4133,2988,1145,548,408,140,7266,2265,5001,25852,16625,9227,549,458,91,22066,18348,3718,49,43,6,14070,11536,2534,7859,7562,297,2651,2286,365,77,56,21,5448,3834,1614,3176,2457,719,6127,4484,1643,7015,2334,4681,4876,908,3968,50554,19413,31141
B0706,`33,`000,State - TAMIL NADU,Urban,30-34,140258,80183,60075,24626,13290,11336,3207,1884,1323,23883,12026,11857,4670,3277,1393,633,442,191,8090,2505,5585,23534,14344,9190,509,434,75,21181,16780,4401,24,24,0,13522,10906,2616,7662,7374,288,2897,2297,600,41,31,10,3190,2579,611,2723,2148,575,5282,3896,1386,5399,1810,3589,4827,663,4164,33610,10053,23557
B0706,`33,`000,State - TAMIL NADU,Urban,35-39,136779,75007,61772,25768,13112,12656,3381,2041,1340,28313,13191,15122,5445,3560,1885,644,384,260,8668,2658,6010,22277,13040,9237,573,448,125,22279,16506,5773,52,47,5,13794,10496,3298,7160,6893,267,3466,2621,845,67,45,22,1685,1393,292,2304,1905,399,4718,3357,1361,4497,1295,3202,4678,680,3998,28546,7559,20987
B0706,`33,`000,State - TAMIL NADU,Urban,40-49,219668,125576,94092,42036,22718,19318,6432,4125,2307,50322,25219,25103,10366,6997,3369,1158,737,421,14134,4921,9213,32003,19980,12023,963,780,183,37148,27603,9545,50,44,6,22268,16899,5369,10424,9967,457,6698,5005,1693,35,23,12,1448,1204,244,3838,3270,568,7977,6223,1754,6434,2006,4428,7599,1367,6232,42407,11924,30483
B0706,`33,`000,State - TAMIL NADU,Urban,50-59,138693,82317,56376,27922,15599,12323,5059,3398,1661,35778,18708,17070,7922,5365,2557,681,504,177,8689,3554,5135,16695,11338,5357,516,374,142,20234,15173,5061,23,23,0,14072,10862,3210,5008,4768,240,4366,3270,1096,27,17,10,861,707,154,2762,2445,317,6224,5165,1059,3378,1278,2100,4904,1103,3801,29416,9864,19552
B0706,`33,`000,State - TAMIL NADU,Urban,60-69,76419,46023,30396,18172,10531,7641,3504,2540,964,22833,12525,10308,4808,3347,1461,358,250,108,4942,2270,2672,7528,5202,2326,225,154,71,9479,6948,2531,5,5,0,7205,5257,1948,1286,1227,59,2143,1561,582,3,0,3,262,216,46,1048,971,77,2475,2175,300,1091,530,561,3148,913,2235,22248,10463,11785
B0706,`33,`000,State - TAMIL NADU,Urban,70-79,25867,16349,9518,6362,4008,2354,1502,1139,363,7033,4304,2729,1582,1179,403,95,75,20,1607,816,791,2160,1603,557,51,36,15,2458,1838,620,0,0,0,2260,1636,624,379,342,37,571,429,142,5,3,2,66,52,14,372,347,25,827,751,76,298,189,109,1198,414,784,9765,5204,4561
B0706,`33,`000,State - TAMIL NADU,Urban,80+,6704,4038,2666,1503,930,573,406,299,107,1436,886,550,369,288,81,3,3,0,356,186,170,496,366,130,13,9,4,482,349,133,0,0,0,495,333,162,89,81,8,107,81,26,0,0,0,25,15,10,65,51,14,201,175,26,77,37,40,327,120,207,3260,1689,1571
B0706,`33,`000,State - TAMIL NADU,Urban,Age not stated,1279,758,521,144,80,64,32,23,9,123,65,58,17,11,6,0,0,0,24,11,13,114,75,39,9,9,0,147,106,41,0,0,0,83,71,12,40,38,2,14,14,0,0,0,0,13,6,7,9,9,0,51,46,5,17,5,12,39,9,30,691,340,351
B0706,`33,`602,District - Thiruvallur,Total,Total,244229,134467,109762,45677,23540,22137,13008,7490,5518,97436,46272,51164,6193,4245,1948,264,214,50,9749,4565,5184,28205,20345,7860,850,694,156,32873,20763,12110,69,66,3,10602,7829,2773,7437,7086,351,2428,1850,578,42,34,8,2555,1820,735,2303,1910,393,8528,6731,1797,3750,1249,2501,6547,1719,4828,57067,23125,33942
B0706,`33,`602,District - Thiruvallur,Total,`5-9,4607,2435,2172,107,54,53,234,107,127,228,105,123,42,23,19,0,0,0,115,63,52,70,49,21,0,0,0,39,36,3,0,0,0,30,21,9,9,6,3,0,0,0,0,0,0,6,6,0,0,0,0,15,3,12,23,14,9,67,28,39,3836,2028,1808
B0706,`33,`602,District - Thiruvallur,Total,`10-14,6587,3277,3310,286,138,148,253,108,145,574,290,284,80,50,30,6,6,0,131,49,82,281,156,125,12,6,6,105,69,36,0,0,0,36,36,0,26,24,2,7,7,0,0,0,0,6,3,3,8,8,0,22,14,8,40,14,26,132,50,82,5154,2525,2629
B0706,`33,`602,District - Thiruvallur,Total,15-19,16312,9101,7211,2492,1523,969,714,370,344,3510,1782,1728,280,181,99,14,8,6,386,155,231,2426,1392,1034,66,54,12,1298,1025,273,0,0,0,654,481,173,152,137,15,76,67,9,2,2,0,88,30,58,40,36,4,401,283,118,131,68,63,367,149,218,8199,4404,3795
B0706,`33,`602,District - Thiruvallur,Total,20-24,29500,16480,13020,5144,3030,2114,1144,575,569,8273,3936,4337,440,258,182,9,9,0,963,394,569,5059,3572,1487,115,87,28,2943,2201,742,12,12,0,1134,900,234,968,911,57,198,183,15,8,8,0,707,435,272,290,197,93,1155,827,328,567,174,393,758,189,569,9901,4642,5259
B0706,`33,`602,District - Thiruvallur,Total,25-29,33408,18350,15058,5648,2987,2661,1376,696,680,11774,5326,6448,712,509,203,24,18,6,1417,647,770,5083,3628,1455,87,77,10,4483,2915,1568,15,15,0,1395,1207,188,1378,1335,43,285,225,60,3,3,0,741,514,227,417,338,79,1293,1001,292,681,259,422,887,223,664,7005,2401,4604
B0706,`33,`602,District - Thiruvallur,Total,30-34,28909,15691,13218,5294,2634,2660,1421,780,641,11364,5049,6315,641,403,238,40,34,6,1283,586,697,4088,3055,1033,82,58,24,4361,2737,1624,6,6,0,1312,1029,283,1224,1164,60,306,243,63,6,6,0,430,351,79,345,280,65,1247,974,273,649,259,390,691,164,527,4707,1147,3560
B0706,`33,`602,District - Thiruvallur,Total,35-39,29599,15455,14144,5975,2603,3372,1515,811,704,13589,5839,7750,825,563,262,49,33,16,1207,516,691,3468,2496,972,119,95,24,5105,3014,2091,12,9,3,1433,950,483,1118,1084,34,324,238,86,8,6,2,220,185,35,318,248,70,1005,720,285,526,173,353,856,158,698,3877,920,2957
B0706,`33,`602,District - Thiruvallur,Total,40-49,46264,25503,20761,9582,4757,4825,2737,1657,1080,22098,10545,11553,1492,1069,423,75,67,8,2059,1027,1032,4581,3439,1142,238,201,37,7846,4763,3083,15,15,0,2315,1645,670,1601,1531,70,603,435,168,6,0,6,187,161,26,500,446,54,1607,1332,275,645,143,502,1315,314,1001,5926,1470,4456
B0706,`33,`602,District - Thiruvallur,Total,50-59,28112,15954,12158,6085,3091,2994,1980,1245,735,14388,7053,7335,894,617,277,41,33,8,1207,620,587,2157,1759,398,103,90,13,4082,2550,1532,9,9,0,1349,946,403,737,697,40,399,297,102,9,9,0,131,107,24,248,227,21,1226,1085,141,359,97,262,829,254,575,4049,1350,2699
B0706,`33,`602,District - Thiruvallur,Total,60-69,15023,8672,6351,3701,1943,1758,1096,753,343,8646,4596,4050,590,428,162,6,6,0,745,377,368,745,600,145,19,17,2,1948,1069,879,0,0,0,717,479,238,162,146,16,172,120,52,0,0,0,21,13,8,89,82,7,378,344,34,97,33,64,491,144,347,2802,1408,1394
B0706,`33,`602,District - Thiruvallur,Total,70-79,4503,2742,1761,1082,621,461,405,295,110,2412,1413,999,136,102,34,0,0,0,201,120,81,164,145,19,3,3,0,527,315,212,0,0,0,169,95,74,39,31,8,46,27,19,0,0,0,12,12,0,30,30,0,152,128,24,21,12,9,113,32,81,1155,603,552
B0706,`33,`602,District - Thiruvallur,Total,80+,1138,645,493,246,143,103,122,86,36,514,298,216,53,36,17,0,0,0,25,5,20,58,39,19,3,3,0,103,50,53,0,0,0,38,20,18,14,11,3,12,8,4,0,0,0,6,3,3,9,9,0,27,20,7,8,3,5,34,14,20,358,183,175
B0706,`33,`602,District - Thiruvallur,Total,Age not stated,267,162,105,35,16,19,11,7,4,66,40,26,8,6,2,0,0,0,10,6,4,25,15,10,3,3,0,33,19,14,0,0,0,20,20,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,3,0,3,7,0,7,98,44,54
B0706,`33,`602,District - Thiruvallur,Rural,Total,138646,71269,67377,28374,12718,15656,10755,6096,4659,90971,42743,48228,4000,2640,1360,170,130,40,4912,2162,2750,11486,7818,3668,330,254,76,17114,7900,9214,18,18,0,2952,1966,986,2106,2014,92,616,434,182,18,12,6,288,188,100,426,384,42,1928,1514,414,966,374,592,2892,712,2180,15072,6628,8444
B0706,`33,`602,District - Thiruvallur,Rural,`5-9,1527,822,705,58,34,24,134,56,78,197,90,107,14,4,10,0,0,0,0,0,0,64,46,18,0,0,0,14,14,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,2,1146,638,508
B0706,`33,`602,District - Thiruvallur,Rural,`10-14,2328,1192,1136,167,72,95,167,63,104,528,263,265,38,22,16,6,6,0,20,0,20,206,112,94,0,0,0,66,38,28,0,0,0,10,10,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,32,8,24,1404,730,674
B0706,`33,`602,District - Thiruvallur,Rural,15-19,8244,4507,3737,1527,900,627,559,284,275,3214,1625,1589,180,122,58,12,6,6,190,68,122,1458,784,674,36,30,6,734,556,178,0,0,0,270,222,48,54,48,6,32,32,0,0,0,0,26,6,20,14,12,2,200,140,60,50,26,24,182,64,118,2560,1382,1178
B0706,`33,`602,District - Thiruvallur,Rural,20-24,15107,8091,7016,2896,1571,1325,891,432,459,7742,3644,4098,286,156,130,6,6,0,492,190,302,2452,1682,770,40,32,8,1458,954,504,0,0,0,340,278,62,402,384,18,56,48,8,0,0,0,72,36,36,52,44,8,364,274,90,198,70,128,420,106,314,2732,1326,1406
B0706,`33,`602,District - Thiruvallur,Rural,25-29,18307,9352,8955,3346,1589,1757,1123,561,562,10968,4904,6064,440,286,154,18,12,6,808,370,438,2070,1428,642,54,46,8,2362,1160,1202,6,6,0,354,312,42,514,498,16,76,58,18,0,0,0,98,80,18,110,110,0,288,256,32,206,100,106,428,98,330,1730,656,1074
B0706,`33,`602,District - Thiruvallur,Rural,30-34,16304,8232,8072,3100,1260,1840,1174,630,544,10622,4650,5972,436,268,168,26,20,6,648,288,360,1518,1140,378,30,14,16,2226,1000,1226,0,0,0,390,296,94,332,314,18,86,64,22,6,6,0,26,20,6,70,64,6,258,216,42,180,88,92,274,76,198,1102,338,764
B0706,`33,`602,District - Thiruvallur,Rural,35-39,17841,8431,9410,3795,1395,2400,1283,677,606,12679,5365,7314,552,386,166,30,18,12,598,244,354,1298,932,366,46,26,20,2756,1120,1636,0,0,0,364,180,184,292,286,6,48,32,16,0,0,0,24,12,12,60,46,14,188,108,80,112,38,74,382,60,322,924,296,628
B0706,`33,`602,District - Thiruvallur,Rural,40-49,28112,14205,13907,6046,2511,3535,2358,1409,949,20568,9721,10847,994,690,304,48,44,4,968,422,546,1404,936,468,88,74,14,3974,1636,2338,6,6,0,624,334,290,336,322,14,150,98,52,6,0,6,34,28,6,70,60,10,288,240,48,130,26,104,568,142,426,1544,528,1016
B0706,`33,`602,District - Thiruvallur,Rural,50-59,17384,9017,8367,3982,1733,2249,1690,1031,659,13458,6519,6939,572,374,198,24,18,6,614,286,328,688,528,160,36,32,4,2062,898,1164,6,6,0,350,194,156,134,126,8,114,76,38,6,6,0,8,6,2,38,36,2,224,188,36,64,14,50,324,106,218,954,306,648
B0706,`33,`602,District - Thiruvallur,Rural,60-69,9903,5297,4606,2547,1170,1377,937,638,299,8169,4313,3856,358,238,120,0,0,0,428,202,226,240,164,76,0,0,0,1090,380,710,0,0,0,174,92,82,24,18,6,42,26,16,0,0,0,0,0,0,12,12,0,74,66,8,8,0,8,242,40,202,652,278,374
B0706,`33,`602,District - Thiruvallur,Rural,70-79,2849,1714,1135,712,375,337,332,241,91,2289,1332,957,84,58,26,0,0,0,120,84,36,52,48,4,0,0,0,302,126,176,0,0,0,60,42,18,6,6,0,8,0,8,0,0,0,0,0,0,0,0,0,38,24,14,6,6,0,20,2,18,244,120,124
B0706,`33,`602,District - Thiruvallur,Rural,80+,611,330,281,174,100,74,97,68,29,480,282,198,38,30,8,0,0,0,16,2,14,16,6,10,0,0,0,56,16,40,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,8,2,6,60,22,38
B0706,`33,`602,District - Thiruvallur,Rural,Age not stated,129,79,50,24,8,16,10,6,4,57,35,22,8,6,2,0,0,0,10,6,4,20,12,8,0,0,0,14,2,12,0,0,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,20,8,12
